owner	sequence	script_name	native_kind	android_arm64	android_armv7	ios_arm64	ios_armv7	registration_status	body_status	evidence_report	notes
EmotePlayer	39	getCameraOffset	METHOD	registrar=0x67CEA8; callback=0x67F2D0	registrar=0x5612E8; callback=0x562070	registrar=0x1001B5130; callback=0x1001B6150	registrar=0x1B4DE0; callback=0x1B5F26	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_player_facade_properties_methods_four_binary_2026-08-27.md	
EmotePlayer	40	setCameraOffset	METHOD	registrar=0x67CEA8; callback=0x67F2D8	registrar=0x5612E8; callback=0x56207E	registrar=0x1001B5130; callback=0x1001B6158	registrar=0x1B4DE0; callback=0x1B5F34	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_player_facade_properties_methods_four_binary_2026-08-27.md	
EmotePlayer	41	modifyRoot	METHOD	registrar=0x67CEA8; callback=0x67F2EC	registrar=0x5612E8; callback=0x56209C	registrar=0x1001B5130; callback=0x1001B616C	registrar=0x1B4DE0; callback=0x1B5F56	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_player_facade_properties_methods_four_binary_2026-08-27.md	
EmotePlayer	42	setHairScale	METHOD	registrar=0x67CEA8; callback=0x67F300	registrar=0x5612E8; callback=0x5620AC	registrar=0x1001B5130; callback=0x1001B619C	registrar=0x1B4DE0; callback=0x1B5F84	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_scale_trigger_variablekeys_animating_four_binary_2026-08-27.md	
EmotePlayer	43	setPartsScale	METHOD	registrar=0x67CEA8; callback=0x67F308	registrar=0x5612E8; callback=0x5620B6	registrar=0x1001B5130; callback=0x1001B61A4	registrar=0x1B4DE0; callback=0x1B5F8E	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_scale_trigger_variablekeys_animating_four_binary_2026-08-27.md	
EmotePlayer	44	setBustScale	METHOD	registrar=0x67CEA8; callback=0x67F310	registrar=0x5612E8; callback=0x5620C0	registrar=0x1001B5130; callback=0x1001B61AC	registrar=0x1B4DE0; callback=0x1B5F98	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_scale_trigger_variablekeys_animating_four_binary_2026-08-27.md	
EmotePlayer	45	hairScale	RW_PROPERTY	registrar=0x67CEA8; get=0x67F318; set=0x67F300	registrar=0x5612E8; get=0x5620CA; set=0x5620AC	registrar=0x1001B5130; get=0x1001B61B4; set=0x1001B619C	registrar=0x1B4DE0; get=0x1B5FA2; set=0x1B5F84	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_scale_trigger_variablekeys_animating_four_binary_2026-08-27.md	setter exact alias with setHairScale
EmotePlayer	46	bustScale	RW_PROPERTY	registrar=0x67CEA8; get=0x67F320; set=0x67F310	registrar=0x5612E8; get=0x5620D4; set=0x5620C0	registrar=0x1001B5130; get=0x1001B61BC; set=0x1001B61AC	registrar=0x1B4DE0; get=0x1B5FAC; set=0x1B5F98	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_scale_trigger_variablekeys_animating_four_binary_2026-08-27.md	setter exact alias with setBustScale
EmotePlayer	47	partsScale	RW_PROPERTY	registrar=0x67CEA8; get=0x67F328; set=0x67F308	registrar=0x5612E8; get=0x5620DE; set=0x5620B6	registrar=0x1001B5130; get=0x1001B61C4; set=0x1001B61A4	registrar=0x1B4DE0; get=0x1B5FB6; set=0x1B5F8E	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_scale_trigger_variablekeys_animating_four_binary_2026-08-27.md	setter exact alias with setPartsScale
EmotePlayer	48	debugPrint	RW_PROPERTY	registrar=0x67CEA8; get=0x67F330; set=0x67F338	registrar=0x5612E8; get=0x5620E8; set=0x5620EE	registrar=0x1001B5130; get=0x1001B61CC; set=0x1001B61D4	registrar=0x1B4DE0; get=0x1B5FC0; set=0x1B5FC6	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_scale_trigger_variablekeys_animating_four_binary_2026-08-27.md	
EmotePlayer	49	queuing	RW_PROPERTY	registrar=0x67CEA8; get=0x67F344; set=0x67F34C	registrar=0x5612E8; get=0x5620F6; set=0x5620FC	registrar=0x1001B5130; get=0x1001B61E0; set=0x1001B61E8	registrar=0x1B4DE0; get=0x1B5FCE; set=0x1B5FD4	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_scale_trigger_variablekeys_animating_four_binary_2026-08-27.md	
EmotePlayer	50	directEdit	RW_PROPERTY	registrar=0x67CEA8; get=0x67F358; set=0x67F360	registrar=0x5612E8; get=0x562104; set=0x56210A	registrar=0x1001B5130; get=0x1001B61F4; set=0x1001B61FC	registrar=0x1B4DE0; get=0x1B5FDC; set=0x1B5FE2	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_scale_trigger_variablekeys_animating_four_binary_2026-08-27.md	
EmotePlayer	51	selectorEnabled	RW_PROPERTY	registrar=0x67CEA8; get=0x67F36C; set=0x67F374	registrar=0x5612E8; get=0x562112; set=0x562118	registrar=0x1001B5130; get=0x1001B6208; set=0x1001B6210	registrar=0x1B4DE0; get=0x1B5FEA; set=0x1B5FF0	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_scale_trigger_variablekeys_animating_four_binary_2026-08-27.md	
EmotePlayer	52	variableKeys	RO_PROPERTY	registrar=0x67CEA8; get=0x67F380	registrar=0x5612E8; get=0x562122	registrar=0x1001B5130; get=0x1001B621C	registrar=0x1B4DE0; get=0x1B5FFA	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_scale_trigger_variablekeys_animating_four_binary_2026-08-27.md	
EmotePlayer	53	animating	RO_PROPERTY	registrar=0x67CEA8; get=0x671378	registrar=0x5612E8; get=0x55B18C	registrar=0x1001B5130; get=0x1001AE5D8	registrar=0x1B4DE0; get=0x1ADE54	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_scale_trigger_variablekeys_animating_four_binary_2026-08-27.md	direct EmoteEngine getter; setter and indexed slots null
EmotePlayer	54	setMirror	METHOD	registrar=0x67CEA8; callback=0x66F190	registrar=0x5612E8; callback=0x55A336	registrar=0x1001B5130; callback=0x1001AD644	registrar=0x1B4DE0; callback=0x1ACCEA	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_timeline_selector_queries_four_binary_2026-08-27.md	direct EmoteEngine binding
EmotePlayer	55	skip	METHOD	registrar=0x67CEA8; callback=0x66BF6C	registrar=0x5612E8; callback=0x558888	registrar=0x1001B5130; callback=0x1001AB03C	registrar=0x1B4DE0; callback=0x1AA714	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_timeline_selector_queries_four_binary_2026-08-27.md	direct EmoteEngine resetControllers binding
EmotePlayer	56	playTimeline	RAW_METHOD_CALLBACK	registrar=0x67CEA8; callback=0x670224	registrar=0x5612E8; callback=0x55A9EC	registrar=0x1001B5130; callback=0x1001ADD74	registrar=0x1B4DE0; callback=0x1AD460	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_timeline_selector_queries_four_binary_2026-08-27.md	
EmotePlayer	57	stopTimeline	RAW_METHOD_CALLBACK	registrar=0x67CEA8; callback=0x67F38C	registrar=0x5612E8; callback=0x562130	registrar=0x1001B5130; callback=0x1001B6228	registrar=0x1B4DE0; callback=0x1B6008	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_timeline_selector_queries_four_binary_2026-08-27.md	
EmotePlayer	58	getTimelinePlaying	RAW_METHOD_CALLBACK	registrar=0x67CEA8; callback=0x67F47C	registrar=0x5612E8; callback=0x5621C8	registrar=0x1001B5130; callback=0x1001B62D8	registrar=0x1B4DE0; callback=0x1B6108	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_timeline_selector_queries_four_binary_2026-08-27.md	
EmotePlayer	59	setTimelineBlendRatio	RAW_METHOD_CALLBACK	registrar=0x67CEA8; callback=entry=0x670674; containing_func=0x670350	registrar=0x5612E8; callback=0x55AB8C	registrar=0x1001B5130; callback=0x1001ADFB0	registrar=0x1B4DE0; callback=0x1AD72C	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_timeline_selector_queries_four_binary_2026-08-27.md	Android arm64 callback is an internal entry in a combined raw-callback function
EmotePlayer	60	fadeInTimeline	RAW_METHOD_CALLBACK	registrar=0x67CEA8; callback=0x670ACC	registrar=0x5612E8; callback=0x55AD64	registrar=0x1001B5130; callback=0x1001AE200	registrar=0x1B4DE0; callback=0x1AD97C	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_timeline_selector_queries_four_binary_2026-08-27.md	
EmotePlayer	61	fadeOutTimeline	RAW_METHOD_CALLBACK	registrar=0x67CEA8; callback=0x670DD4	registrar=0x5612E8; callback=0x55AEA8	registrar=0x1001B5130; callback=0x1001AE364	registrar=0x1B4DE0; callback=0x1ADB24	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_timeline_selector_queries_four_binary_2026-08-27.md	
EmotePlayer	62	getTimelineBlendRatio	METHOD	registrar=0x67CEA8; callback=0x67F5A8	registrar=0x5612E8; callback=0x562270	registrar=0x1001B5130; callback=0x1001B6398	registrar=0x1B4DE0; callback=0x1B6218	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_timeline_selector_queries_four_binary_2026-08-27.md	direct EmoteEngine binding
EmotePlayer	63	getVariableRange	METHOD	registrar=0x67CEA8; callback=0x670FCC	registrar=0x5612E8; callback=0x55AF8C	registrar=0x1001B5130; callback=0x1001AE454	registrar=0x1B4DE0; callback=0x1ADC6C	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_timeline_selector_queries_four_binary_2026-08-27.md	
EmotePlayer	64	getVariableFrameList	METHOD	registrar=0x67CEA8; callback=0x67F67C	registrar=0x5612E8; callback=0x5622A0	registrar=0x1001B5130; callback=0x1001B63C8	registrar=0x1B4DE0; callback=0x1B623C	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_timeline_selector_queries_four_binary_2026-08-27.md	
EmotePlayer	65	getMainTimelineLabelList	METHOD	registrar=0x67CEA8; callback=0x672334	registrar=0x5612E8; callback=0x55B5C8	registrar=0x1001B5130; callback=0x1001AEF14	registrar=0x1B4DE0; callback=0x1AE6F4	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_timeline_selector_queries_four_binary_2026-08-27.md	direct EmoteEngine binding
EmotePlayer	66	getDiffTimelineLabelList	METHOD	registrar=0x67CEA8; callback=0x6724A0	registrar=0x5612E8; callback=0x55B63C	registrar=0x1001B5130; callback=0x1001AEFA0	registrar=0x1B4DE0; callback=0x1AE7C8	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_timeline_selector_queries_four_binary_2026-08-27.md	direct EmoteEngine binding
EmotePlayer	67	getLoopTimeline	METHOD	registrar=0x67CEA8; callback=0x67260C	registrar=0x5612E8; callback=0x55B6B0	registrar=0x1001B5130; callback=0x1001AF02C	registrar=0x1B4DE0; callback=0x1AE89C	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_timeline_selector_queries_four_binary_2026-08-27.md	direct EmoteEngine binding
EmotePlayer	68	getTimelineTotalFrameCount	METHOD	registrar=0x67CEA8; callback=0x6727D0	registrar=0x5612E8; callback=0x55B750	registrar=0x1001B5130; callback=0x1001AF0D4	registrar=0x1B4DE0; callback=0x1AE9A4	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_timeline_selector_queries_four_binary_2026-08-27.md	direct EmoteEngine binding
EmotePlayer	69	getPlayingTimelineInfoList	METHOD	registrar=0x67CEA8; callback=0x6728A4	registrar=0x5612E8; callback=0x55B788	registrar=0x1001B5130; callback=0x1001AF104	registrar=0x1B4DE0; callback=0x1AE9D0	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_timeline_selector_queries_four_binary_2026-08-27.md	direct EmoteEngine binding
EmotePlayer	70	isSelectorTarget	METHOD	registrar=0x67CEA8; callback=0x67F7DC	registrar=0x5612E8; callback=0x562378	registrar=0x1001B5130; callback=0x1001B64D0	registrar=0x1B4DE0; callback=0x1B6394	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_timeline_selector_queries_four_binary_2026-08-27.md	direct EmoteEngine binding
EmotePlayer	71	activateSelectorTarget	METHOD	registrar=0x67CEA8; callback=0x672BFC	registrar=0x5612E8; callback=0x55B908	registrar=0x1001B5130; callback=0x1001AF2F0	registrar=0x1B4DE0; callback=0x1AEBE4	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_timeline_selector_queries_four_binary_2026-08-27.md	direct EmoteEngine binding
EmotePlayer	72	deactivateSelectorTarget	METHOD	registrar=0x67CEA8; callback=0x672FD4	registrar=0x5612E8; callback=0x55BAD4	registrar=0x1001B5130; callback=0x1001AF628	registrar=0x1B4DE0; callback=0x1AEE48	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_timeline_selector_queries_four_binary_2026-08-27.md	direct EmoteEngine binding
EmotePlayer	73	getCommandList	METHOD	registrar=0x67CEA8; callback=0x67F900	registrar=0x5612E8; callback=0x5623DE	registrar=0x1001B5130; callback=0x1001B65D4	registrar=0x1B4DE0; callback=0x1B644C	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_timeline_selector_queries_four_binary_2026-08-27.md	
LayerGetter	1	<constructor>	ZERO_ARG_CONSTRUCTOR	registrar=0x698730; dispatch=0x6DFFAC; attach=0x6E0080	registrar=0x574628; dispatch=0x5A0BBC; attach=0x5A0C4C	registrar=0x1000F81AC; dispatch=0x100131274; attach=0x100131314	registrar=0xF4FF8; dispatch=0x13016C; attach=0x1301D8	EVIDENCED_4_4	CONSTRUCTOR_EVIDENCED_4_4	analysis/motionplayer_layergetter_ncb_surface_and_constructor_four_binary_2026-08-26.md	
LayerGetter	2	type	RO_PROPERTY	registrar=0x698730; callback=0x6993F4	registrar=0x574628; callback=0x5749DE	registrar=0x1000F81AC; callback=0x1000F86AC	registrar=0xF4FF8; callback=0xF5408	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_layergetter_scalar_string_getters_four_binary_2026-08-26.md	
LayerGetter	3	label	RO_PROPERTY	registrar=0x698730; callback=0x699400	registrar=0x574628; callback=0x5749E4	registrar=0x1000F81AC; callback=0x1000F86B8	registrar=0xF4FF8; callback=0xF540E	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_layergetter_scalar_string_getters_four_binary_2026-08-26.md	
LayerGetter	4	src	RO_PROPERTY	registrar=0x698730; callback=0x699424	registrar=0x574628; callback=0x574A04	registrar=0x1000F81AC; callback=0x1000F86DC	registrar=0xF4FF8; callback=0xF542E	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_layergetter_scalar_string_getters_four_binary_2026-08-26.md	
LayerGetter	5	visible	RO_PROPERTY	registrar=0x698730; callback=0x69945C	registrar=0x574628; callback=0x574A32	registrar=0x1000F81AC; callback=0x1000F8710	registrar=0xF4FF8; callback=0xF545C	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_layergetter_scalar_string_getters_four_binary_2026-08-26.md	
LayerGetter	6	branchVisible	RO_PROPERTY	registrar=0x698730; callback=0x699468	registrar=0x574628; callback=0x574A3A	registrar=0x1000F81AC; callback=0x1000F871C	registrar=0xF4FF8; callback=0xF5464	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_layergetter_scalar_string_getters_four_binary_2026-08-26.md	
LayerGetter	7	layerVisible	RO_PROPERTY	registrar=0x698730; callback=0x699474	registrar=0x574628; callback=0x574A42	registrar=0x1000F81AC; callback=0x1000F8728	registrar=0xF4FF8; callback=0xF546C	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_layergetter_scalar_string_getters_four_binary_2026-08-26.md	
LayerGetter	8	x	RO_PROPERTY	registrar=0x698730; callback=0x699498	registrar=0x574628; callback=0x574A5A	registrar=0x1000F81AC; callback=0x1000F874C	registrar=0xF4FF8; callback=0xF5484	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_layergetter_scalar_string_getters_four_binary_2026-08-26.md	
LayerGetter	9	y	RO_PROPERTY	registrar=0x698730; callback=0x6994A4	registrar=0x574628; callback=0x574A6A	registrar=0x1000F81AC; callback=0x1000F8758	registrar=0xF4FF8; callback=0xF5494	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_layergetter_scalar_string_getters_four_binary_2026-08-26.md	
LayerGetter	10	left	RO_PROPERTY	registrar=0x698730; callback=0x699498	registrar=0x574628; callback=0x574A5A	registrar=0x1000F81AC; callback=0x1000F874C	registrar=0xF4FF8; callback=0xF5484	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_layergetter_scalar_string_getters_four_binary_2026-08-26.md	
LayerGetter	11	top	RO_PROPERTY	registrar=0x698730; callback=0x6994A4	registrar=0x574628; callback=0x574A6A	registrar=0x1000F81AC; callback=0x1000F8758	registrar=0xF4FF8; callback=0xF5494	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_layergetter_scalar_string_getters_four_binary_2026-08-26.md	
LayerGetter	12	coord	RO_PROPERTY	registrar=0x698730; callback=0x6994B0	registrar=0x574628; callback=0x574A7C	registrar=0x1000F81AC; callback=0x1000F8764	registrar=0xF4FF8; callback=0xF54A4	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_layergetter_quad_exception_frontiers_four_binary_2026-08-27.md	
LayerGetter	13	flipX	RO_PROPERTY	registrar=0x698730; callback=0x69961C	registrar=0x574628; callback=0x574AF4	registrar=0x1000F81AC; callback=0x1000F87EC	registrar=0xF4FF8; callback=0xF5588	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_layergetter_scalar_string_getters_four_binary_2026-08-26.md	
LayerGetter	14	flipY	RO_PROPERTY	registrar=0x698730; callback=0x699628	registrar=0x574628; callback=0x574AFC	registrar=0x1000F81AC; callback=0x1000F87F8	registrar=0xF4FF8; callback=0xF5590	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_layergetter_scalar_string_getters_four_binary_2026-08-26.md	
LayerGetter	15	zoomX	RO_PROPERTY	registrar=0x698730; callback=0x699634	registrar=0x574628; callback=0x574B04	registrar=0x1000F81AC; callback=0x1000F8804	registrar=0xF4FF8; callback=0xF5598	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_layergetter_scalar_string_getters_four_binary_2026-08-26.md	
LayerGetter	16	zoomY	RO_PROPERTY	registrar=0x698730; callback=0x699640	registrar=0x574628; callback=0x574B14	registrar=0x1000F81AC; callback=0x1000F8810	registrar=0xF4FF8; callback=0xF55A8	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_layergetter_scalar_string_getters_four_binary_2026-08-26.md	
LayerGetter	17	angleDeg	RO_PROPERTY	registrar=0x698730; callback=0x69964C	registrar=0x574628; callback=0x574B24	registrar=0x1000F81AC; callback=0x1000F881C	registrar=0xF4FF8; callback=0xF55B8	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_layergetter_scalar_string_getters_four_binary_2026-08-26.md	
LayerGetter	18	angleRad	RO_PROPERTY	registrar=0x698730; callback=0x699658	registrar=0x574628; callback=0x574B38	registrar=0x1000F81AC; callback=0x1000F8828	registrar=0xF4FF8; callback=0xF55C8	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_layergetter_scalar_string_getters_four_binary_2026-08-26.md	
LayerGetter	19	slantX	RO_PROPERTY	registrar=0x698730; callback=0x699680	registrar=0x574628; callback=0x574B70	registrar=0x1000F81AC; callback=0x1000F8850	registrar=0xF4FF8; callback=0xF55FC	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_layergetter_scalar_string_getters_four_binary_2026-08-26.md	
LayerGetter	20	slantY	RO_PROPERTY	registrar=0x698730; callback=0x69968C	registrar=0x574628; callback=0x574B80	registrar=0x1000F81AC; callback=0x1000F885C	registrar=0xF4FF8; callback=0xF560C	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_layergetter_scalar_string_getters_four_binary_2026-08-26.md	
LayerGetter	21	originX	RO_PROPERTY	registrar=0x698730; callback=0x699698	registrar=0x574628; callback=0x574B90	registrar=0x1000F81AC; callback=0x1000F8868	registrar=0xF4FF8; callback=0xF561C	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_layergetter_scalar_string_getters_four_binary_2026-08-26.md	
LayerGetter	22	originY	RO_PROPERTY	registrar=0x698730; callback=0x6996B4	registrar=0x574628; callback=0x574BA8	registrar=0x1000F81AC; callback=0x1000F8880	registrar=0xF4FF8; callback=0xF5634	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_layergetter_scalar_string_getters_four_binary_2026-08-26.md	
LayerGetter	23	opacity	RO_PROPERTY	registrar=0x698730; callback=0x6996D0	registrar=0x574628; callback=0x574BC0	registrar=0x1000F81AC; callback=0x1000F8898	registrar=0xF4FF8; callback=0xF564C	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_layergetter_scalar_string_getters_four_binary_2026-08-26.md	
LayerGetter	24	mtx	RO_PROPERTY	registrar=0x698730; callback=0x6996DC	registrar=0x574628; callback=0x574BC8	registrar=0x1000F81AC; callback=0x1000F88A4	registrar=0xF4FF8; callback=0xF5654	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_layergetter_quad_exception_frontiers_four_binary_2026-08-27.md	
LayerGetter	25	vtx	RO_PROPERTY	registrar=0x698730; callback=0x699894	registrar=0x574628; callback=0x574C44	registrar=0x1000F81AC; callback=0x1000F893C	registrar=0xF4FF8; callback=0xF5744	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_layergetter_quad_exception_frontiers_four_binary_2026-08-27.md	
LayerGetter	26	color	RO_PROPERTY	registrar=0x698730; callback=0x699A88	registrar=0x574628; callback=0x574D64	registrar=0x1000F81AC; callback=0x1000F8AB8	registrar=0xF4FF8; callback=0xF58FC	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_layergetter_quad_exception_frontiers_four_binary_2026-08-27.md	
LayerGetter	27	bezierPatch	RO_PROPERTY	registrar=0x698730; callback=0x699D90	registrar=0x574628; callback=0x574E80	registrar=0x1000F81AC; callback=0x1000F8B80	registrar=0xF4FF8; callback=0xF5A14	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_layergetter_quad_exception_frontiers_four_binary_2026-08-27.md	
LayerGetter	28	shape	RO_PROPERTY	registrar=0x698730; callback=0x699F28	registrar=0x574628; callback=0x574F34	registrar=0x1000F81AC; callback=0x1000F8C60	registrar=0xF4FF8; callback=0xF5B38	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_layergetter_quad_exception_frontiers_four_binary_2026-08-27.md	
LayerGetter	29	motion	RO_PROPERTY	registrar=0x698730; callback=0x699FB0	registrar=0x574628; callback=0x574F7E	registrar=0x1000F81AC; callback=0x1000F8CE8	registrar=0xF4FF8; callback=0xF5C0C	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_layergetter_shape_motion_particle_lifetime_four_binary_2026-08-26.md	
LayerGetter	30	particle	RO_PROPERTY	registrar=0x698730; callback=0x699FD4	registrar=0x574628; callback=0x574F9A	registrar=0x1000F81AC; callback=0x1000F8D0C	registrar=0xF4FF8; callback=0xF5C28	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_layergetter_shape_motion_particle_lifetime_four_binary_2026-08-26.md	
Motion	1	LayerTypeObj	STATIC_VARIANT_CONSTANT	registrar=0x6D6EE8; constant_helper=0x6D766C; value=0	registrar=0x5991D0; constant_helper=0x5994DC; value=0	registrar=0x100125974; constant_helper=0x100125C9C; value=0	registrar=0x124B7C; constant_helper=0x124E68; value=0	EVIDENCED_4_4	NOT_APPLICABLE_CONSTANT	analysis/motionplayer_motion_class_registration_surface_four_binary_2026-08-26.md	
Motion	2	LayerTypeShape	STATIC_VARIANT_CONSTANT	registrar=0x6D6EE8; constant_helper=0x6D766C; value=1	registrar=0x5991D0; constant_helper=0x5994DC; value=1	registrar=0x100125974; constant_helper=0x100125C9C; value=1	registrar=0x124B7C; constant_helper=0x124E68; value=1	EVIDENCED_4_4	NOT_APPLICABLE_CONSTANT	analysis/motionplayer_motion_class_registration_surface_four_binary_2026-08-26.md	
Motion	3	LayerTypeLayout	STATIC_VARIANT_CONSTANT	registrar=0x6D6EE8; constant_helper=0x6D766C; value=2	registrar=0x5991D0; constant_helper=0x5994DC; value=2	registrar=0x100125974; constant_helper=0x100125C9C; value=2	registrar=0x124B7C; constant_helper=0x124E68; value=2	EVIDENCED_4_4	NOT_APPLICABLE_CONSTANT	analysis/motionplayer_motion_class_registration_surface_four_binary_2026-08-26.md	
Motion	4	LayerTypeMotion	STATIC_VARIANT_CONSTANT	registrar=0x6D6EE8; constant_helper=0x6D766C; value=3	registrar=0x5991D0; constant_helper=0x5994DC; value=3	registrar=0x100125974; constant_helper=0x100125C9C; value=3	registrar=0x124B7C; constant_helper=0x124E68; value=3	EVIDENCED_4_4	NOT_APPLICABLE_CONSTANT	analysis/motionplayer_motion_class_registration_surface_four_binary_2026-08-26.md	
Motion	5	LayerTypeParticle	STATIC_VARIANT_CONSTANT	registrar=0x6D6EE8; constant_helper=0x6D766C; value=4	registrar=0x5991D0; constant_helper=0x5994DC; value=4	registrar=0x100125974; constant_helper=0x100125C9C; value=4	registrar=0x124B7C; constant_helper=0x124E68; value=4	EVIDENCED_4_4	NOT_APPLICABLE_CONSTANT	analysis/motionplayer_motion_class_registration_surface_four_binary_2026-08-26.md	
Motion	6	LayerTypeCamera	STATIC_VARIANT_CONSTANT	registrar=0x6D6EE8; constant_helper=0x6D766C; value=5	registrar=0x5991D0; constant_helper=0x5994DC; value=5	registrar=0x100125974; constant_helper=0x100125C9C; value=5	registrar=0x124B7C; constant_helper=0x124E68; value=5	EVIDENCED_4_4	NOT_APPLICABLE_CONSTANT	analysis/motionplayer_motion_class_registration_surface_four_binary_2026-08-26.md	
Motion	7	ShapeTypePoint	STATIC_VARIANT_CONSTANT	registrar=0x6D6EE8; constant_helper=0x6D766C; value=0	registrar=0x5991D0; constant_helper=0x5994DC; value=0	registrar=0x100125974; constant_helper=0x100125C9C; value=0	registrar=0x124B7C; constant_helper=0x124E68; value=0	EVIDENCED_4_4	NOT_APPLICABLE_CONSTANT	analysis/motionplayer_motion_class_registration_surface_four_binary_2026-08-26.md	
Motion	8	ShapeTypeCircle	STATIC_VARIANT_CONSTANT	registrar=0x6D6EE8; constant_helper=0x6D766C; value=1	registrar=0x5991D0; constant_helper=0x5994DC; value=1	registrar=0x100125974; constant_helper=0x100125C9C; value=1	registrar=0x124B7C; constant_helper=0x124E68; value=1	EVIDENCED_4_4	NOT_APPLICABLE_CONSTANT	analysis/motionplayer_motion_class_registration_surface_four_binary_2026-08-26.md	
Motion	9	ShapeTypeRect	STATIC_VARIANT_CONSTANT	registrar=0x6D6EE8; constant_helper=0x6D766C; value=2	registrar=0x5991D0; constant_helper=0x5994DC; value=2	registrar=0x100125974; constant_helper=0x100125C9C; value=2	registrar=0x124B7C; constant_helper=0x124E68; value=2	EVIDENCED_4_4	NOT_APPLICABLE_CONSTANT	analysis/motionplayer_motion_class_registration_surface_four_binary_2026-08-26.md	
